序号,电网电压Uab,电网电压Ubc,定子电压Uuv,定子电压Uvw,总并网/定子U相电流,总并网/定子V相电流,总并网/定子W相电流,转子K相电流,转子L相电流,转子M相电流,母线电压,机侧M相占空比,转子三相电流和,总并网/定子三相电流和,总并网/定子有功电流,总并网/定子无功电流,发电机转速,编码器脉冲信号,编码器复位信号,电网故障标志,交流撬棒电流,交流撬棒触发状态/转子负序有功电流给定,电网故障穿越状态/转子负序无功电流给定,转子正序有功电流给定,转子正序无功电流给定,转子正序有功电流反馈,转子正序无功电流反馈,转子有功电流给定/转子负序有功电流反馈,转子有功电流反馈/转子负序无功电流反馈,并网接触器状态,主控制字,主状态字Ǖ
72,64604,643,342,65041,147,1069,65448,3057,0,1508,311,500,10093,0,561,14822,65517,0,0,65531,0,1069,65176,0,30,4,65174,32,0,0,15,4614,
73,64593,576,382,65053,97,1069,65490,3006,118,1301,325,500,9989,0,561,14823,65516,0,0,65533,0,1069,65182,0,28,13,65172,33,0,0,143,4614,
74,64579,486,422,65073,41,1068,65398,3022,102,999,338,500,10084,0,561,14821,65519,0,0,0,0,1069,65180,0,21,19,65170,30,0,0,143,4614,
75,64591,401,444,65112,65516,1069,15,2949,175,800,352,500,10037,0,561,14822,65521,0,0,1,0,1069,65179,0,17,14,65179,24,0,0,143,4614,
76,64602,305,462,65145,65463,1069,65461,2911,213,497,365,500,10043,0,561,14818,65518,0,0,0,0,1069,65185,0,16,15,65182,24,0,0,143,4614,
77,64624,209,471,65189,65411,1068,65486,2858,266,275,378,500,10072,0,561,14824,65522,0,0,0,0,1069,65182,0,17,13,65189,21,0,0,143,4614,
78,64666,108,490,65234,65347,1069,65526,2930,520,194,392,500,10055,0,561,14819,65520,0,0,0,0,1069,65176,0,7,7,65184,10,0,0,143,4614,
79,64705,6,479,65297,65295,1070,14,2973,740,151,405,500,10085,0,561,14824,65524,0,0,0,0,1069,65181,0,15,65533,65195,65534,0,0,143,4614,
80,64764,65444,479,65359,65233,1069,65524,3024,972,100,419,500,10061,0,561,14823,65524,0,0,65535,0,1069,65176,0,15,65520,65191,65518,0,0,143,4614,
81,64823,65342,459,65427,65186,1069,74,3053,1196,0,432,500,10085,0,561,14826,65527,0,0,1,0,1069,65170,0,27,65514,65196,65505,0,0,143,4614,
82,64898,65249,449,65498,65125,1070,94,3014,1440,110,445,500,10061,0,561,14827,65526,0,0,1,0,1069,65175,0,32,65498,65184,65486,0,0,143,4614,
83,64969,65150,435,12,65087,1069,42,3044,1693,90,459,500,10072,0,561,14830,65526,0,0,65534,0,1069,65173,0,32,65500,65175,65487,0,0,143,4614,
84,65057,65068,405,64,65061,1069,160,2988,1970,136,472,500,10047,0,561,14831,65523,0,0,65531,0,1069,65170,0,38,65507,65175,65487,0,0,143,4614,
85,65143,64978,382,104,65045,1070,94,2973,2238,151,486,500,10079,0,561,14831,65525,0,0,65532,0,1069,65176,0,33,65516,65172,65497,0,0,143,4614,
86,65235,64903,357,140,65039,1069,152,2919,2564,205,499,500,10026,0,561,14836,65519,0,0,0,0,1069,65174,0,23,65526,65173,65509,0,0,143,4614,
87,65330,64835,339,156,65040,1069,117,2863,2824,261,512,500,10056,0,561,14833,65521,0,0,0,0,1069,65167,0,65535,65532,65176,65534,0,0,143,4614,
88,65425,64773,304,189,65042,1070,151,2596,2906,218,526,500,10026,0,561,14836,65518,0,0,0,0,1069,65172,0,65525,65535,65182,7,0,0,143,4614,
89,65530,64712,280,229,65026,1069,127,2329,3004,120,539,500,10073,0,561,14833,65519,0,0,0,0,1069,65168,0,65521,65520,65172,17,0,0,143,4614,
90,80,64673,245,270,65021,1070,100,2097,3009,115,553,500,9987,0,561,14836,65516,0,0,0,0,1069,65163,0,65521,65510,65169,23,0,0,143,4614,
91,191,64633,207,310,65016,1070,118,1766,3032,100,566,500,10086,0,561,14833,65518,0,0,65534,0,1069,65169,0,65526,65499,65164,30,0,0,143,4614,
92,279,64603,145,351,65032,1070,121,1549,3058,104,579,500,9998,0,561,14837,65515,0,0,65530,0,1069,65168,0,65531,65505,65168,25,0,0,143,4614,
93,372,64594,96,384,65051,1070,115,1275,3039,94,593,500,10016,0,561,14834,65512,0,0,65532,0,1069,65162,0,65534,65503,65171,28,0,0,143,4614,
94,465,64580,37,426,65073,1070,87,1059,3002,122,606,500,10049,0,561,14836,65515,0,0,1,0,1069,65170,0,7,65508,65168,23,0,0,143,4614,
95,548,64590,65511,456,65105,1069,207,730,2970,154,619,500,10004,0,561,14834,65507,0,0,1,0,1069,65171,0,10,65516,65169,17,0,0,143,4614,
96,627,64599,65464,466,65141,1069,71,553,2934,190,633,500,10034,0,561,14834,65511,0,0,0,0,1069,65166,0,8,65511,65177,21,0,0,143,4614,
97,696,64631,65408,485,65177,1070,162,277,2847,317,646,500,10032,0,561,14831,65507,0,0,65535,0,1069,65173,0,12,65517,65176,19,0,0,143,4614,
98,773,64658,65347,497,65227,1069,206,173,2951,512,660,500,10089,0,561,14831,65512,0,0,0,0,1069,65170,0,8,65526,65176,9,0,0,143,4614,
99,809,64709,65285,494,65291,1070,107,167,2957,716,673,500,9990,0,561,14828,65509,0,0,65535,0,1069,65163,0,65530,65531,65181,65530,0,0,143,4614,
100,873,64763,65235,490,65346,1070,170,97,3027,989,687,500,10137,0,561,14826,65516,0,0,0,0,1069,65170,0,65524,65531,65181,65523,0,0,143,4614,
101,898,64825,65175,472,65425,1069,176,96,3028,1225,700,500,10019,0,561,14829,65513,0,0,1,0,1069,65170,0,65503,65530,65183,65501,0,0,143,4614,
102,931,64894,65130,454,65487,1069,134,100,3066,1426,713,500,10083,0,561,14823,65517,0,0,0,0,1069,65164,0,65496,65525,65180,65493,0,0,143,4614,
103,943,64971,65099,427,8,1070,82,0,3014,1695,727,500,10069,0,561,14827,65520,0,0,65535,0,1069,65172,0,65496,65516,65180,65490,0,0,15,4614,
104,954,65059,65047,420,62,1069,216,105,3019,2029,740,500,10085,0,561,14824,65518,0,0,65530,0,1069,65173,0,65488,65524,65159,65487,0,0,15,4614,
105,947,65136,65035,388,107,1068,11,174,2950,2178,754,500,10031,0,561,14830,65521,0,0,65532,0,1069,65170,0,65499,65518,65162,65495,0,0,15,4614,
106,928,65240,65024,370,139,1069,125,221,2903,2557,767,500,10092,0,561,14821,65520,0,0,65534,0,1069,65179,0,65511,65527,65159,65513,0,0,15,4614,
107,914,65328,65041,337,156,1068,55,278,2846,2843,780,500,10055,0,561,14830,65522,0,0,0,0,1069,65179,0,1,65535,65175,65534,0,0,15,4614,
108,867,65423,65036,310,189,1068,17,203,2620,2921,794,500,10024,0,561,14821,65521,0,0,0,0,1069,65171,0,4,11,65176,11,0,0,15,4614,
109,837,65528,65033,279,223,1069,18,136,2351,2988,3,500,10106,0,561,14828,65528,0,0,0,0,1069,65177,0,3,22,65177,21,0,0,15,4614,
110,770,87,65016,246,274,1068,9,113,2020,3011,16,500,10028,0,561,14826,65524,0,0,0,0,1069,65175,0,65521,24,65164,25,0,0,15,4614,
111,727,184,65022,207,302,1068,14,0,1844,3068,30,500,10046,0,561,14829,65528,0,0,65532,0,1069,65169,0,65517,32,65169,35,0,0,15,4614,
112,640,279,65021,157,351,1069,65473,124,1505,3000,43,500,10056,0,561,14830,65527,0,0,65529,0,1069,65178,0,65505,22,65161,35,0,0,15,4614,
113,573,380,65042,94,397,1067,14,79,1264,3047,57,500,10048,0,561,14831,65527,0,0,65533,0,1069,65183,0,65507,11,65162,27,0,0,15,4614,
114,490,455,65076,39,421,1067,65422,142,1049,2982,70,500,9986,0,561,14834,65524,0,0,1,0,1069,65177,0,65511,13,65172,26,0,0,15,4614,
115,393,554,65106,65520,447,1068,65511,145,763,2979,83,500,10101,0,561,14828,65529,0,0,1,0,1069,65187,0,65510,9,65175,25,0,0,15,4614,
116,309,624,65153,65460,457,1067,65390,220,501,2904,97,500,9985,0,561,14838,65521,0,0,0,0,1069,65186,0,65517,14,65186,18,0,0,15,4614,
117,205,699,65182,65410,479,1067,65458,253,276,2871,110,500,10079,0,561,14830,65525,0,0,0,0,1069,65180,0,65513,5,65181,20,0,0,15,4614,
118,112,764,65237,65351,484,1068,65390,511,215,2909,124,500,10024,0,561,14837,65522,0,0,1,0,1069,65186,0,65521,9,65187,8,0,0,15,4614,
119,65534,820,65290,65293,488,1067,65354,789,132,2992,137,500,10108,0,561,14832,65523,0,0,0,0,1069,65187,0,65528,11,65186,65534,0,0,15,4614,
120,65453,866,65367,65238,467,1067,65387,892,105,3019,150,500,9993,0,561,14836,65522,0,0,0,0,1069,65178,0,65534,30,65197,65515,0,0,15,4614,
121,65335,898,65420,65187,465,1068,65301,1272,97,3027,164,500,10123,0,561,14832,65523,0,0,0,0,1069,65185,0,2,30,65189,65508,0,0,15,4614,
122,65249,934,65498,65138,435,1067,65337,1407,0,3056,177,500,10028,0,561,14837,65523,0,0,0,0,1069,65187,0,1,50,65192,65488,0,0,15,4614,
123,65154,941,19,65094,421,1067,65286,1706,93,3033,191,500,10046,0,561,14835,65518,0,0,65535,0,1069,65178,0,3,52,65181,65483,0,0,15,4614,
124,65063,955,60,65062,407,1068,65351,1938,133,2991,204,500,10083,0,561,14836,65522,0,0,65529,0,1069,65188,0,3,44,65170,65490,0,0,15,4614,
